case_name,mode,epsilon,best_pessimistic_value,worst_pessimistic_value,avg_pessimistic_value
paper_style_attack_graph,standard,0.0,0.32923199999999997,0.32923199999999997,0.32923199999999997
paper_style_attack_graph,standard,0.02,0.6764598799999999,0.32923199999999997,0.5803357795
paper_style_attack_graph,standard,0.05,0.67646528,0.32923199999999997,0.5947953115
paper_style_attack_graph,standard,0.1,0.6764670799999999,0.32923199000000003,0.4991582245
paper_style_attack_graph,standard,0.2,0.67646798,0.32923199999999997,0.56835217
paper_style_attack_graph,standard,0.35,0.6764683600000001,0.32923199999999997,0.5763690265
paper_style_attack_graph,standard,0.5,0.67646852,0.32923201,0.5472188745000001
paper_style_attack_graph,robust,0.0,0.67646842,0.67646842,0.67646842
paper_style_attack_graph,robust,0.02,0.67646845,0.6764684000000001,0.6764684255000001
paper_style_attack_graph,robust,0.05,0.67646848,0.6764683600000001,0.6764684305
paper_style_attack_graph,robust,0.1,0.67646852,0.67646827,0.676468371
paper_style_attack_graph,robust,0.2,0.6764685800000001,0.67646797,0.676468326
paper_style_attack_graph,robust,0.35,0.67646864,0.67646521,0.6764674535
paper_style_attack_graph,robust,0.5,0.6764686799999999,0.33865635,0.6141792104999999
branching_enterprise_graph,standard,0.0,0.34294988,0.34294988,0.34294988
branching_enterprise_graph,standard,0.02,0.69491966,0.34294988,0.6023923945
branching_enterprise_graph,standard,0.05,0.71296775,0.34294988,0.608731653
branching_enterprise_graph,standard,0.1,0.69492383,0.34294988,0.5144236615
branching_enterprise_graph,standard,0.2,0.6949245,0.34294987,0.583916864
branching_enterprise_graph,standard,0.35,0.71297052,0.34294985,0.59203893
branching_enterprise_graph,standard,0.5,0.71297303,0.34294983,0.5559395405
branching_enterprise_graph,robust,0.0,0.34294988,0.34294988,0.34294988
branching_enterprise_graph,robust,0.02,0.69491966,0.34294988,0.6023923945
branching_enterprise_graph,robust,0.05,0.71296775,0.34294988,0.608731653
branching_enterprise_graph,robust,0.1,0.69492383,0.34294988,0.5144236615
branching_enterprise_graph,robust,0.2,0.6949245,0.34294987,0.583916864
branching_enterprise_graph,robust,0.35,0.71297052,0.34294985,0.59203893
branching_enterprise_graph,robust,0.5,0.71297303,0.34294983,0.5559395405
lateral_movement_graph,standard,0.0,0.62908607,0.62908607,0.62908607
lateral_movement_graph,standard,0.02,0.7085025599999999,0.6290853000000001,0.6727416625
lateral_movement_graph,standard,0.05,0.70850571,0.62908151,0.6727639945
lateral_movement_graph,standard,0.1,0.7085065100000001,0.37967686,0.6069973015000001
lateral_movement_graph,standard,0.2,0.70850715,0.35910447,0.521476523
lateral_movement_graph,standard,0.35,0.7085073500000001,0.35910433,0.5647749395
lateral_movement_graph,standard,0.5,0.70850744,0.35910394,0.512364496
lateral_movement_graph,robust,0.0,0.7085074,0.7085074,0.7085074
lateral_movement_graph,robust,0.02,0.70850741,0.7085073900000001,0.7085073995
lateral_movement_graph,robust,0.05,0.7085074199999999,0.70850737,0.7085073974999999
lateral_movement_graph,robust,0.1,0.70850744,0.70850733,0.708507384
lateral_movement_graph,robust,0.2,0.70850747,0.70850719,0.7085073635
lateral_movement_graph,robust,0.35,0.7085075000000001,0.7085060599999999,0.7085071995
lateral_movement_graph,robust,0.5,0.7085075299999999,0.35910457,0.65609636
