Case,ε,c* threshold,ε < c*,Std Avg Pes,Std Worst Pes,Rob Avg Pes,Rob Worst Pes,Rob − Std (Avg)
paper_style_attack_graph,0.0,0.4,✓,0.32923,0.32923,0.67647,0.67647,0.34724
paper_style_attack_graph,0.02,0.4,✓,0.56193,0.33062,0.67647,0.67647,0.11454
paper_style_attack_graph,0.05,0.4,✓,0.57664,0.32923,0.67647,0.67647,0.09983
paper_style_attack_graph,0.1,0.4,✓,0.56555,0.32923,0.67647,0.67647,0.11092
paper_style_attack_graph,0.15,0.4,✓,0.57418,0.32923,0.67647,0.67647,0.10229
paper_style_attack_graph,0.2,0.4,✓,0.62503,0.33866,0.67647,0.67647,0.05144
paper_style_attack_graph,0.3,0.4,✓,0.60089,0.32923,0.67647,0.67647,0.07558
paper_style_attack_graph,0.4,0.4,✓,0.56864,0.32923,0.66504,0.64216,0.0964
paper_style_attack_graph,0.5,0.4,✗,0.52694,0.32923,0.64533,0.33848,0.11838
branching_enterprise_graph,0.0,0.0,✓,0.34295,0.34295,0.34295,0.34295,0.0
branching_enterprise_graph,0.02,0.0,✗,0.57157,0.34295,0.57157,0.34295,0.0
branching_enterprise_graph,0.05,0.0,✗,0.58988,0.34295,0.58988,0.34295,0.0
branching_enterprise_graph,0.1,0.0,✗,0.58812,0.34295,0.58812,0.34295,0.0
branching_enterprise_graph,0.15,0.0,✗,0.59445,0.34295,0.59445,0.34295,0.0
branching_enterprise_graph,0.2,0.0,✗,0.63686,0.34295,0.63686,0.34295,0.0
branching_enterprise_graph,0.3,0.0,✗,0.62453,0.34295,0.62453,0.34295,0.0
branching_enterprise_graph,0.4,0.0,✗,0.58061,0.34295,0.58061,0.34295,0.0
branching_enterprise_graph,0.5,0.0,✗,0.5424,0.34295,0.5424,0.34295,0.0
lateral_movement_graph,0.0,0.4,✓,0.62909,0.62909,0.70851,0.70851,0.07942
lateral_movement_graph,0.02,0.4,✓,0.67143,0.62909,0.70851,0.70851,0.03708
lateral_movement_graph,0.05,0.4,✓,0.66879,0.62908,0.70851,0.70851,0.03971
lateral_movement_graph,0.1,0.4,✓,0.6053,0.37967,0.70851,0.70851,0.10321
lateral_movement_graph,0.15,0.4,✓,0.60891,0.3591,0.70851,0.70851,0.09959
lateral_movement_graph,0.2,0.4,✓,0.60188,0.3591,0.70851,0.70851,0.10663
lateral_movement_graph,0.3,0.4,✓,0.60241,0.3591,0.70851,0.70851,0.1061
lateral_movement_graph,0.4,0.4,✓,0.53125,0.3591,0.70851,0.7085,0.17725
lateral_movement_graph,0.5,0.4,✗,0.49563,0.3591,0.6716,0.3591,0.17598
