C,v1*,c*,Std Pes,Rob Pes,Std Opt,Rob Opt,Std RT(s),Rob RT(s)
0.3,0.32923,0.15,0.32923,0.32923,0.32923,0.32923,0.10111,0.09832
0.6,0.33866,0.04,0.32923,0.33866,0.33866,0.33866,0.09855,0.45087
0.9,0.62331,0.02,0.59501,0.62331,0.62331,0.62331,0.10492,0.58586
1.2,0.62331,0.16,0.59501,0.62331,0.62331,0.62331,0.08801,0.74042
1.5,0.66018,0.1,0.59673,0.66018,0.66018,0.66018,0.18823,0.60471
1.8,0.66018,0.28,0.59673,0.66018,0.66018,0.66018,0.2222,0.90542
2.1,0.67647,0.1,0.32923,0.67647,0.67647,0.67647,0.04644,0.44263
2.4,0.67647,0.4,0.32923,0.67647,0.67647,0.67647,0.04302,0.46
3.0,0.67647,1.0,0.32923,0.67647,0.67647,0.67647,0.04696,0.77915
4.0,0.67647,1.33333,0.32923,0.67647,0.67647,0.67647,0.04029,0.44287
5.0,0.67647,1.66667,0.32923,0.67647,0.67647,0.67647,0.04473,0.43915
